Name,Nation,Position,Team,Age,Matches Played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,xG,xAG,PrgC,PrgP_x,PrgR_x,Goals per 90,Assists per 90,xG per 90,xAG per 90,Goals against per 90,Save%,Clean Sheets %,Penalty Save %,Shoots on target percentage,Shoot on target per 90,Goals per shot,Average shoot distance,Pass completed,Pass completion,Progressive passing distance,Short pass completion,Medium pass completion,Long pass completion,Key passes,Pass in to final third,Pass in to penalty are,CrsPA,PrgP_y,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att,Lost_x,Blocks,Sh,Pass,Int,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,att,Succ%,Tkld%,Carries,ProDist,ProgC,1/3,CPA,Mis,Dis,Rec,PrgR_y,Fls,Fld,Off,Crs,Recov,Won,Lost_y,Won%,transfer_value
Leif Davis,eng ENG,DF,Ipswich Town,25-116,31,30,2563.0,1,2,5,1,0.9,4.3,48,55,117,0.04,0.07,0.03,0.15,N/a,N/a,N/a,N/a,14.3,0.07,0.07,20.4,854,71.5,14708,86.0,77.4,37.3,54,30,26,11,55,2.98,42,0.14,3,45,26,46,17,24,8,16,25,1459,115,517,484,477,36,37,13,45.9,659,1940,48,27,10,36,14,770,117,25,30,3,148,111,33,22,60.0,€28.2M
Leny Yoro,fr FRA,DF,Manchester Utd,19-176,20,11,1114.0,0,0,5,0,0.7,0.1,19,52,4,0.0,0.0,0.06,0.01,N/a,N/a,N/a,N/a,20.0,0.08,0.0,8.6,667,92.1,10721,95.3,93.9,65.0,2,43,5,1,52,0.65,5,0.0,0,26,11,17,6,5,3,2,18,847,83,395,385,70,13,4,2,50.0,577,1646,19,13,1,3,4,615,4,9,2,1,1,45,16,15,51.6,€71M
Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-272,23,14,1138.0,1,2,3,0,1.7,1.5,57,35,121,0.08,0.16,0.14,0.12,N/a,N/a,N/a,N/a,21.4,0.47,0.04,17.3,273,70.7,4275,81.4,81.1,47.4,16,16,20,2,35,3.01,23,0.32,4,6,4,10,8,6,0,6,3,539,18,76,155,318,69,57,22,42.1,344,1334,57,22,33,35,25,386,121,12,18,3,34,59,6,9,40.0,€39.2M
Lesley Ugochukwu,fr FRA,MF,Southampton,21-043,24,16,1525.0,1,1,6,0,0.9,1.0,29,49,20,0.06,0.06,0.05,0.06,N/a,N/a,N/a,N/a,10.0,0.06,0.1,17.0,570,84.9,8828,88.2,91.5,59.5,14,52,7,1,49,1.36,19,0.06,0,49,24,33,15,26,9,17,14,838,46,199,478,167,24,26,18,26.9,459,1195,29,15,6,12,13,570,20,28,14,0,6,62,20,17,54.1,€27M
Levi Colwill,eng ENG,DF,Chelsea,22-071,32,32,2879.0,1,1,8,0,1.3,1.1,13,125,11,0.03,0.03,0.04,0.04,N/a,N/a,N/a,N/a,18.8,0.09,0.06,9.9,2211,89.6,40277,92.8,95.3,57.0,14,144,7,3,125,1.19,34,0.09,2,42,30,25,9,35,24,11,32,2728,344,1280,1330,129,35,10,6,40.0,1543,3886,13,11,1,13,8,1996,11,42,19,4,13,110,76,51,59.8,€56.6M
Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-094,34,30,2816.0,1,3,8,0,0.9,4.1,33,153,49,0.03,0.1,0.03,0.13,N/a,N/a,N/a,N/a,28.6,0.13,0.07,23.4,1158,76.8,20150,84.8,85.1,45.5,48,150,26,11,153,2.78,67,0.16,2,80,42,66,30,30,11,19,40,1814,85,427,954,453,19,18,11,38.9,791,2113,33,29,4,29,17,904,49,46,10,3,127,182,40,34,54.1,€19.3M
Lewis Dunk,eng ENG,DF,Brighton,33-168,25,23,2083.0,0,0,5,0,0.8,0.5,20,142,3,0.0,0.0,0.03,0.02,N/a,N/a,N/a,N/a,25.0,0.13,0.0,12.1,1778,91.0,32940,96.4,95.2,62.7,6,157,6,0,142,0.82,17,0.13,2,17,10,19,8,28,18,10,13,2127,258,993,1031,113,21,1,0,100.0,1341,3345,20,19,0,9,3,1556,3,7,11,2,5,104,51,31,62.2,€7.4M
Lewis Hall,eng ENG,DF,Newcastle Utd,20-242,27,24,2189.0,0,4,3,0,0.4,4.3,41,123,80,0.0,0.16,0.02,0.18,N/a,N/a,N/a,N/a,9.1,0.04,0.0,18.8,1300,81.7,21999,91.3,85.1,51.5,34,114,17,5,123,2.59,44,0.25,5,58,41,74,34,33,18,15,18,1820,95,623,804,414,47,21,11,33.3,950,2358,41,22,13,33,20,1094,80,9,21,1,110,119,30,31,49.2,€34.5M
Liam Delap,eng ENG,FW,Ipswich Town,22-089,34,31,2491.0,12,2,10,0,9.3,1.9,60,30,105,0.43,0.07,0.34,0.07,N/a,N/a,N/a,N/a,43.8,1.01,0.16,16.0,211,61.2,2913,70.7,63.5,39.1,21,16,6,0,30,2.24,28,0.25,3,10,7,14,12,8,0,8,2,659,29,78,277,326,89,84,39,42.9,436,1570,60,46,29,99,58,519,105,67,50,13,5,66,53,69,43.4,€37M
Lisandro Martínez,ar ARG,DF,Manchester Utd,27-110,20,20,1751.0,2,1,7,0,1.3,1.1,23,117,7,0.1,0.05,0.07,0.06,N/a,N/a,N/a,N/a,35.3,0.31,0.12,15.9,1200,89.4,20292,94.2,93.0,55.2,9,91,18,2,117,1.34,23,0.1,2,40,24,36,15,22,8,14,32,1524,156,713,697,125,18,7,6,14.3,1017,3129,23,23,2,1,3,1069,7,22,7,0,9,81,16,13,55.2,€49.2M
Lucas Bergvall,se SWE,MF,Tottenham,19-095,27,11,1212.0,0,1,3,0,0.7,0.6,33,49,31,0.0,0.07,0.05,0.04,N/a,N/a,N/a,N/a,16.7,0.15,0.0,19.9,629,87.4,10567,91.9,89.8,74.6,11,53,7,3,49,1.63,16,0.3,3,39,19,32,15,18,8,10,24,885,36,188,478,232,22,45,21,44.4,531,1634,33,21,4,20,19,586,31,20,17,0,21,73,9,8,52.9,€32.6M
Lucas Digne,fr FRA,DF,Aston Villa,31-292,31,27,2261.0,0,4,4,0,0.8,4.4,23,55,140,0.0,0.16,0.03,0.17,N/a,N/a,N/a,N/a,23.1,0.12,0.0,22.7,932,75.2,15153,88.2,78.8,40.1,35,43,29,18,55,2.51,39,0.2,5,63,37,64,21,23,4,19,25,1485,93,520,449,526,28,19,9,47.4,672,1328,23,14,4,17,16,808,140,20,14,7,138,100,35,27,56.5,€13.6M
Lucas Paquetá,br BRA,"MF,FW",West Ham,27-254,31,27,2336.0,4,0,9,0,5.2,3.1,22,145,82,0.15,0.0,0.2,0.12,N/a,N/a,N/a,N/a,7.9,0.12,0.05,19.6,1088,77.3,18064,83.7,79.6,64.4,36,125,43,4,145,3.04,65,0.23,3,66,37,54,27,28,4,24,17,1738,62,360,957,435,57,43,18,46.5,891,1300,22,32,2,53,50,1220,82,52,62,6,28,146,48,57,45.7,€71.2M
Luis Díaz,co COL,FW,Liverpool,28-115,33,26,2225.0,12,5,2,0,10.0,4.9,103,103,269,0.49,0.2,0.4,0.2,N/a,N/a,N/a,N/a,41.5,1.09,0.18,13.5,697,84.3,11124,88.6,86.0,82.4,54,45,43,6,103,4.69,87,0.65,13,33,21,34,21,18,0,18,7,1109,15,78,382,668,155,111,51,43.2,733,2803,103,53,55,51,43,878,269,48,30,10,30,98,12,33,26.7,€71M
Luke Woolfenden,eng ENG,DF,Ipswich Town,26-199,15,12,1187.0,0,0,2,0,0.0,0.0,7,15,0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,0.0,0.0,0.0,12.9,496,88.3,9196,96.7,93.8,52.7,0,31,0,0,15,0.15,2,0.0,0,9,6,5,3,21,14,7,19,694,147,407,278,9,3,0,0,,368,1249,7,3,0,4,0,442,0,5,2,1,0,38,15,15,50.0,€2M
Mads Hermansen,dk DEN,GK,Leicester City,24-301,27,27,2385.0,0,0,1,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,2.19,64.5,3.7,25.0,,0.0,,,654,61.0,17066,97.4,94.8,32.7,0,20,1,0,1,0.11,3,0.0,0,1,1,1,0,1,0,1,0,1147,831,1106,43,0,0,1,1,0.0,734,1904,0,0,0,1,0,625,0,0,3,0,0,17,4,1,80.0,€19.8M
Mads Roerslev,dk DEN,DF,Brentford,25-318,19,11,1101.0,0,2,2,0,0.2,3.0,17,51,54,0.0,0.16,0.02,0.24,N/a,N/a,N/a,N/a,40.0,0.16,0.0,20.8,422,78.7,6925,88.0,79.9,55.1,14,37,11,4,51,1.72,18,0.16,2,18,8,28,17,12,5,7,4,645,49,234,268,146,20,19,7,42.1,352,858,17,13,0,9,6,407,54,6,10,0,31,39,10,14,41.7,
Malo Gusto,fr FRA,DF,Chelsea,21-354,29,19,1832.0,0,1,4,0,1.7,1.3,49,119,84,0.0,0.05,0.08,0.06,N/a,N/a,N/a,N/a,18.2,0.2,0.0,21.3,1176,86.5,19189,93.2,88.3,61.3,21,109,18,6,119,2.8,56,0.2,4,43,28,47,23,29,8,21,23,1563,60,378,758,440,43,16,4,68.8,865,2195,49,35,8,16,17,1053,84,20,19,2,51,116,8,15,34.8,€32.8M
Manuel Akanji,ch SUI,DF,Manchester City,29-293,23,20,1744.0,0,0,3,0,0.7,0.4,38,138,6,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,10.0,0.05,0.0,16.3,1427,93.9,23477,95.9,95.4,75.3,9,153,11,2,138,1.75,34,0.1,2,16,11,13,5,11,8,3,7,1635,111,487,797,353,11,2,2,0.0,1071,3362,38,52,0,4,5,1291,6,16,9,0,11,89,26,29,47.3,€42.8M
Manuel Ugarte Ribeiro,uy URU,MF,Manchester Utd,24-027,27,21,1706.0,1,2,10,0,1.0,1.1,16,59,20,0.05,0.11,0.05,0.06,N/a,N/a,N/a,N/a,21.1,0.21,0.05,21.7,765,87.9,12528,89.6,93.1,75.6,10,54,9,3,59,1.64,24,0.21,3,74,46,66,38,31,4,27,26,1111,43,317,613,201,16,32,18,31.3,642,1306,16,16,1,29,25,693,20,38,33,0,7,117,17,18,48.6,€60.4M
Marc Cucurella,es ESP,DF,Chelsea,26-290,33,30,2718.0,4,1,10,1,2.6,2.1,31,107,108,0.13,0.03,0.09,0.07,N/a,N/a,N/a,N/a,40.9,0.3,0.18,16.5,1569,88.0,24756,93.9,90.1,57.0,19,112,12,3,107,1.59,42,0.17,4,59,39,53,27,45,14,31,25,2075,109,637,958,490,73,13,4,53.8,882,2180,31,18,2,26,6,1287,108,34,33,3,29,119,30,51,37.0,€39.4M
Marc Guéhi,eng ENG,DF,Crystal Palace,24-299,33,33,2969.0,3,2,9,1,2.0,1.5,22,128,10,0.09,0.06,0.06,0.05,N/a,N/a,N/a,N/a,46.7,0.21,0.2,10.7,1419,83.3,27112,90.7,89.0,55.1,15,130,11,3,128,1.24,34,0.15,4,56,31,46,16,54,22,32,25,2056,298,1007,914,146,38,15,12,13.3,1099,2891,22,17,1,16,17,1283,10,23,26,1,13,137,68,57,54.4,€54.2M
Marcos Senesi,ar ARG,DF,Bournemouth,27-363,15,12,1014.0,0,0,5,0,0.8,0.2,12,51,5,0.0,0.0,0.07,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,6.0,493,76.6,10211,88.0,85.9,49.7,3,73,12,3,51,1.42,16,0.09,1,35,21,30,16,15,7,8,11,783,67,349,376,67,12,9,5,44.4,483,1465,12,14,0,6,5,493,5,19,7,0,10,67,23,27,46.0,€20.4M
Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,27-189,15,12,978.0,4,1,2,0,1.7,2.1,20,21,79,0.37,0.09,0.16,0.19,N/a,N/a,N/a,N/a,56.3,0.83,0.25,16.4,253,73.8,3508,83.6,65.9,50.0,15,13,16,8,21,2.67,24,0.09,1,7,4,9,6,8,0,8,4,440,3,35,189,222,34,39,9,66.7,293,728,20,19,12,14,6,341,79,8,7,7,27,24,5,7,41.7,€53.6M
Marcus Tavernier,eng ENG,"FW,MF",Bournemouth,26-047,26,17,1670.0,3,5,5,0,5.3,2.8,41,102,106,0.16,0.27,0.29,0.15,N/a,N/a,N/a,N/a,30.0,0.81,0.06,20.2,553,72.5,9408,85.9,78.3,44.9,36,64,30,9,102,4.58,58,0.59,5,41,24,26,16,16,3,13,5,1000,18,114,385,523,51,57,24,49.1,567,1622,41,40,7,39,43,641,106,28,23,4,91,101,25,31,44.6,€24.4M
Mario Lemina,ga GAB,"MF,DF",Wolves,31-249,17,15,1364.0,1,3,4,0,1.4,1.1,8,48,21,0.07,0.2,0.09,0.07,N/a,N/a,N/a,N/a,27.8,0.33,0.06,21.9,493,80.4,9479,85.0,87.7,61.1,10,43,13,4,48,1.71,21,0.33,5,51,31,29,9,12,7,5,27,809,92,324,378,119,18,16,10,25.0,382,1038,8,12,2,21,11,482,21,17,8,4,10,73,25,16,61.0,
Mark Flekken,nl NED,GK,Brentford,31-329,34,34,3005.0,0,2,1,0,0.0,0.5,0,0,0,0.0,0.06,0.0,0.02,1.53,73.1,17.6,0.0,,0.0,,,1179,73.4,34812,97.9,97.5,49.9,3,47,2,0,0,0.3,6,0.06,0,4,4,9,6,2,0,2,0,1707,1338,1660,52,0,0,1,1,0.0,1045,3005,0,0,0,3,0,953,0,0,3,0,0,37,4,0,100.0,€13.6M
Martin Ødegaard,no NOR,MF,Arsenal,26-142,27,24,2130.0,2,7,4,0,4.6,5.0,82,240,144,0.08,0.3,0.19,0.21,N/a,N/a,N/a,N/a,30.2,0.55,0.02,18.7,1141,82.9,17692,90.5,87.4,53.4,57,120,81,5,240,4.86,95,0.59,12,19,11,24,20,5,0,5,4,1550,7,108,655,801,105,55,23,54.5,1071,3426,82,74,23,33,38,1230,144,10,23,1,81,91,8,7,53.3,
Mateo Kovačić,hr CRO,MF,Manchester City,31-002,29,23,2049.0,6,1,5,0,1.7,3.6,52,149,15,0.26,0.04,0.08,0.16,N/a,N/a,N/a,N/a,29.3,0.53,0.15,22.5,1604,92.6,24956,95.1,95.7,64.3,29,189,28,0,149,2.77,52,0.26,4,67,38,63,33,20,0,20,20,1959,51,287,1126,567,16,39,20,28.2,1332,3573,52,73,3,19,29,1590,15,23,23,0,0,110,9,8,52.9,€25.3M
Mateus Fernandes,pt POR,MF,Southampton,20-302,33,31,2640.0,2,3,8,0,3.8,2.6,73,131,102,0.07,0.1,0.13,0.09,N/a,N/a,N/a,N/a,35.9,0.48,0.05,18.5,1003,79.9,16952,87.9,85.6,55.3,31,91,21,4,131,2.42,40,0.2,4,86,46,64,31,40,6,34,21,1619,59,345,800,511,46,99,45,45.5,836,2981,73,66,8,52,33,1000,102,42,53,4,104,165,13,9,59.1,€22.5M
Matheus Cunha,br BRA,"MF,FW",Wolves,25-346,30,27,2425.0,15,6,3,0,7.9,7.3,104,131,147,0.56,0.22,0.29,0.27,N/a,N/a,N/a,N/a,41.2,1.48,0.15,20.6,743,71.9,11781,85.1,75.9,45.1,51,89,54,10,131,4.38,67,0.59,10,35,21,36,25,19,1,18,17,1425,22,173,657,643,117,130,58,43.8,819,3108,104,88,36,72,48,957,147,41,69,8,123,123,10,27,27.0,€62.6M
Matheus Nunes,pt POR,"DF,MF",Manchester City,26-254,24,17,1494.0,1,5,4,0,0.9,4.2,59,69,156,0.06,0.3,0.05,0.25,N/a,N/a,N/a,N/a,42.9,0.18,0.14,18.3,957,86.3,14863,91.3,88.2,64.9,21,45,25,7,69,2.35,32,0.36,4,32,21,34,19,14,3,11,13,1267,39,221,494,560,54,36,16,36.1,779,2131,59,31,22,29,13,916,156,28,17,6,39,60,13,16,44.8,€42.3M
Matt Doherty,ie IRL,DF,Wolves,33-112,28,23,1965.0,2,1,6,0,1.0,1.5,29,76,40,0.09,0.05,0.05,0.07,N/a,N/a,N/a,N/a,30.0,0.14,0.2,11.4,1003,82.6,18738,90.4,86.5,61.7,11,88,14,1,76,1.1,18,0.14,3,37,20,24,8,26,15,11,21,1433,123,566,705,179,25,20,11,30.0,754,2050,29,19,4,11,5,909,40,18,11,2,18,99,48,19,71.6,€4.2M
Matthijs de Ligt,nl NED,DF,Manchester Utd,25-269,29,25,2123.0,2,0,3,0,2.5,0.3,7,55,6,0.08,0.0,0.1,0.01,N/a,N/a,N/a,N/a,50.0,0.38,0.11,7.9,1241,89.9,21810,94.2,94.4,49.1,6,63,2,1,55,0.59,12,0.04,1,30,22,32,9,29,21,8,33,1608,184,828,731,56,29,4,2,50.0,1078,2225,7,3,0,5,3,1158,6,16,12,2,6,68,58,29,66.7,€52.2M
Matty Cash,pl POL,DF,Aston Villa,27-274,24,21,1800.0,1,1,6,0,0.3,1.1,46,39,75,0.05,0.05,0.02,0.05,N/a,N/a,N/a,N/a,40.0,0.2,0.1,19.0,642,79.2,10745,90.2,80.0,52.3,10,37,9,5,39,1.1,20,0.1,2,47,27,34,10,18,7,11,21,1012,73,365,401,257,37,36,15,44.4,507,1618,46,34,4,17,9,575,75,25,16,1,33,64,17,19,47.2,€32.9M
Matz Sels,be BEL,GK,Nott'ham Forest,33-071,35,35,3150.0,0,0,4,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,1.20,74.3,37.1,0.0,,0.0,,,472,51.1,17926,100.0,98.0,36.9,1,42,3,0,1,0.14,2,0.0,0,1,1,1,0,0,0,0,0,1018,777,1002,16,0,0,0,0,,489,1500,0,1,1,0,0,392,0,1,10,0,0,11,14,2,87.5,€9.1M
Max Kilman,eng ENG,DF,West Ham,27-350,35,35,3078.0,0,1,4,0,1.4,1.2,29,107,6,0.0,0.03,0.04,0.03,N/a,N/a,N/a,N/a,16.7,0.06,0.0,8.8,1548,86.6,29962,91.8,92.7,58.0,16,102,4,0,107,0.85,26,0.09,2,33,20,25,4,55,37,18,38,2176,434,1208,879,105,31,20,14,10.0,1151,2956,29,13,2,16,3,1441,6,21,13,2,3,138,105,50,67.7,€36.7M
Maxence Lacroix,fr FRA,DF,Crystal Palace,25-032,32,32,2846.0,1,1,5,0,3.1,0.8,8,61,7,0.03,0.03,0.1,0.02,N/a,N/a,N/a,N/a,17.2,0.16,0.03,11.1,1125,81.5,23175,85.2,90.6,54.3,6,67,3,1,61,0.82,21,0.13,2,67,40,47,15,43,18,25,52,1805,331,1095,637,80,42,14,8,28.6,962,2079,8,4,0,21,4,1062,7,33,18,1,6,123,57,46,55.3,€27.7M
Micky van de Ven,nl NED,DF,Tottenham,24-019,12,11,950.0,0,2,4,0,0.6,1.2,8,51,1,0.0,0.19,0.05,0.11,N/a,N/a,N/a,N/a,33.3,0.19,0.0,11.1,706,91.0,13313,91.7,96.5,62.5,2,50,1,0,51,1.04,8,0.19,2,10,6,14,6,9,6,3,10,862,101,442,393,36,9,8,4,50.0,599,1388,8,10,1,5,4,629,1,10,8,0,0,61,19,18,51.4,€61.8M
Mikel Merino,es ESP,"MF,FW",Arsenal,28-320,26,15,1418.0,6,2,2,0,4.4,1.9,9,62,88,0.38,0.13,0.28,0.12,N/a,N/a,N/a,N/a,37.5,0.76,0.19,10.5,422,78.0,5811,86.9,78.7,53.3,15,34,24,4,62,2.48,33,0.25,3,38,22,29,14,18,5,13,14,724,35,130,303,300,72,19,8,36.8,357,645,9,12,4,22,22,470,88,36,20,7,12,78,57,52,52.3,€40.5M
Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-309,35,31,2658.0,2,10,2,0,2.6,7.8,64,213,121,0.07,0.34,0.09,0.26,N/a,N/a,N/a,N/a,21.9,0.24,0.06,17.5,1011,72.7,17333,85.3,73.3,53.2,59,153,67,17,213,3.86,86,0.71,15,78,43,72,44,36,2,34,26,1713,34,310,785,640,72,93,49,35.5,972,2753,64,42,9,54,44,1131,121,18,27,6,130,159,12,25,32.4,€28.6M
Milos Kerkez,hu HUN,DF,Bournemouth,21-182,35,35,3077.0,2,5,4,0,0.5,3.7,96,144,169,0.06,0.15,0.02,0.11,N/a,N/a,N/a,N/a,29.4,0.15,0.12,20.4,1215,75.2,18976,89.4,77.4,37.4,32,80,36,23,144,2.22,61,0.26,7,50,26,37,14,36,11,25,42,1975,105,512,832,654,58,44,20,31.8,986,3394,96,67,15,45,19,1073,169,28,45,1,125,156,25,47,34.7,
Mohamed Salah,eg EGY,FW,Liverpool,32-327,35,35,3101.0,28,18,1,0,24.0,13.2,143,133,440,0.81,0.52,0.7,0.38,N/a,N/a,N/a,N/a,42.0,1.36,0.17,14.7,833,71.2,12448,83.6,70.3,59.6,82,49,86,14,133,4.56,114,0.75,19,20,11,16,9,11,0,11,7,1568,10,90,474,1023,327,125,55,52.0,1079,3375,143,54,115,109,63,1313,440,22,36,16,72,95,9,12,42.9,€38.5M
Mohammed Kudus,gh GHA,"FW,MF",West Ham,24-279,29,29,2421.0,4,2,2,1,6.6,2.5,93,76,201,0.15,0.07,0.24,0.09,N/a,N/a,N/a,N/a,29.4,0.74,0.06,15.7,659,83.5,10770,90.2,89.1,67.9,29,44,27,13,76,3.76,71,0.26,5,35,21,27,17,24,1,23,4,1176,12,159,486,572,117,194,87,45.9,770,2401,93,56,39,70,89,916,201,36,60,18,74,128,10,38,20.8,€61.7M
Moisés Caicedo,ec ECU,"MF,DF",Chelsea,23-187,35,35,3081.0,1,2,10,0,0.8,3.0,38,197,33,0.03,0.06,0.02,0.09,N/a,N/a,N/a,N/a,16.7,0.09,0.06,25.1,1827,89.7,31575,92.2,92.4,78.1,29,219,31,2,197,2.75,82,0.26,6,103,64,80,30,45,10,35,49,2394,89,521,1469,430,15,57,24,35.1,1323,3008,38,29,2,36,24,1666,33,62,55,0,9,203,33,15,68.8,€80.7M
Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,25-101,31,31,2541.0,5,7,11,1,4.7,4.5,64,153,118,0.18,0.25,0.17,0.16,N/a,N/a,N/a,N/a,34.0,0.64,0.09,17.0,897,78.0,13817,85.0,81.5,57.3,48,117,37,8,153,3.68,88,0.6,12,40,19,30,15,16,4,12,20,1484,34,175,752,581,86,75,30,45.3,829,2410,64,47,12,66,39,1109,118,34,37,7,39,118,39,48,44.8,€61.7M
Morgan Rogers,eng ENG,"FW,MF",Aston Villa,22-286,34,34,2853.0,8,8,9,0,6.2,7.4,108,117,177,0.25,0.25,0.2,0.23,N/a,N/a,N/a,N/a,35.8,0.6,0.15,15.9,628,73.9,9245,81.4,76.2,79.7,48,71,52,2,117,3.19,76,0.44,12,36,18,39,20,25,7,18,5,1269,36,185,557,553,135,153,65,44.4,744,3036,108,64,33,104,68,897,177,46,48,2,22,108,11,43,20.4,€69M
Murillo,br BRA,DF,Nott'ham Forest,22-308,34,34,3008.0,2,0,5,0,1.4,1.1,20,103,5,0.06,0.0,0.04,0.03,N/a,N/a,N/a,N/a,25.0,0.18,0.08,22.2,1056,78.2,20985,90.0,87.8,48.9,12,124,13,1,103,1.2,27,0.06,1,53,36,46,19,67,44,23,32,1792,400,921,789,96,21,33,26,21.2,760,2286,20,24,1,18,10,912,5,25,4,0,12,134,43,21,67.2,€68.4M
Myles Lewis-Skelly,eng ENG,DF,Arsenal,18-224,20,13,1168.0,1,0,2,2,0.1,0.4,32,62,33,0.08,0.0,0.01,0.03,N/a,N/a,N/a,N/a,50.0,0.08,0.5,14.3,604,90.7,8962,95.8,90.3,65.0,7,55,8,1,62,1.85,18,0.0,0,22,14,10,0,2,1,1,6,775,20,138,426,225,14,26,12,34.6,443,1473,32,23,5,11,8,529,33,10,38,0,8,45,8,10,44.4,€34.9M
Nathan Collins,ie IRL,DF,Brentford,24-008,35,35,3150.0,2,3,5,0,2.5,1.8,28,117,18,0.06,0.09,0.07,0.05,N/a,N/a,N/a,N/a,35.3,0.17,0.12,10.7,1572,85.7,30030,87.8,92.5,59.3,10,102,7,2,117,0.86,22,0.23,4,37,22,34,12,71,51,20,32,2257,360,1179,924,164,66,12,6,41.7,1176,3769,28,12,0,19,8,1365,18,24,28,6,7,149,112,60,65.1,€33.3M
Neco Williams,wls WAL,DF,Nott'ham Forest,24-025,32,25,2324.0,1,3,7,0,2.3,1.5,60,82,86,0.04,0.12,0.09,0.06,N/a,N/a,N/a,N/a,18.9,0.27,0.03,20.2,751,76.1,11289,90.6,72.3,38.9,16,64,19,8,82,1.78,33,0.23,4,75,45,73,28,40,9,31,25,1393,143,504,506,401,38,44,18,40.9,569,1970,60,28,15,29,17,654,86,23,39,1,46,96,36,29,55.4,€23.4M
Nick Pope,eng ENG,GK,Newcastle Utd,33-019,25,25,2250.0,0,0,2,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,1.32,70.1,28.0,50.0,,0.0,,,504,72.8,12978,99.0,98.5,42.8,1,2,0,0,1,0.24,6,0.0,0,0,0,0,0,1,0,1,1,773,612,762,11,0,0,0,0,,397,1519,0,0,0,0,1,273,0,2,5,0,0,21,11,1,91.7,€11.7M
Nicolas Jackson,sn SEN,FW,Chelsea,23-322,29,27,2185.0,10,5,7,0,12.3,4.3,46,37,127,0.41,0.21,0.51,0.18,N/a,N/a,N/a,N/a,44.7,1.4,0.13,12.9,300,75.9,4031,81.6,77.4,64.3,28,22,10,1,37,2.8,41,0.41,7,22,13,10,5,14,2,12,3,679,19,50,281,357,139,60,18,51.7,413,1304,46,25,30,69,41,507,127,33,29,23,3,48,19,36,34.5,€66.2M
Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-314,31,20,1734.0,0,1,9,0,1.4,1.3,13,68,27,0.0,0.05,0.07,0.07,N/a,N/a,N/a,N/a,38.9,0.36,0.0,19.0,725,87.0,10492,91.5,90.1,58.3,13,73,9,1,68,1.66,24,0.0,0,76,40,66,36,34,11,23,27,1071,72,274,555,252,26,8,3,37.5,400,805,13,11,2,18,10,585,27,31,16,1,5,102,21,20,51.2,€18.8M
Nikola Milenković,rs SRB,DF,Nott'ham Forest,27-208,34,34,3060.0,4,2,4,0,3.6,1.0,3,49,6,0.12,0.06,0.1,0.03,N/a,N/a,N/a,N/a,26.9,0.21,0.15,12.1,748,81.2,15092,86.8,87.6,60.8,8,48,2,0,49,0.53,14,0.09,3,43,26,27,6,40,24,16,25,1268,242,700,490,82,59,1,1,0.0,486,963,3,3,2,2,2,638,6,18,4,1,0,75,96,37,72.2,€38M
Noni Madueke,eng ENG,FW,Chelsea,23-059,29,24,1813.0,7,3,3,0,9.1,4.0,142,66,212,0.35,0.15,0.45,0.2,N/a,N/a,N/a,N/a,39.0,1.49,0.09,14.4,474,77.6,6993,86.0,76.6,56.4,30,13,34,8,66,3.77,54,0.4,5,22,15,34,21,17,0,17,8,878,20,90,255,548,172,90,40,44.4,587,3159,142,46,87,43,24,676,212,20,24,5,58,72,10,16,38.5,€51.6M
Noussair Mazraoui,ma MAR,DF,Manchester Utd,27-175,34,31,2639.0,0,1,2,0,0.7,1.3,37,102,51,0.0,0.03,0.02,0.05,N/a,N/a,N/a,N/a,23.1,0.1,0.0,20.6,1409,85.5,21053,91.3,89.1,54.3,18,118,18,5,102,1.71,40,0.03,1,102,60,85,34,33,8,25,34,1976,158,779,903,318,27,47,26,36.2,1086,2680,37,29,3,23,16,1190,51,37,22,3,20,141,47,28,62.7,€43M
Nélson Semedo,pt POR,DF,Wolves,31-173,31,30,2661.0,0,4,7,0,0.8,2.7,61,70,109,0.0,0.14,0.03,0.09,N/a,N/a,N/a,N/a,37.5,0.2,0.0,23.4,973,80.1,14811,91.1,82.8,46.6,21,63,25,11,70,1.76,37,0.2,6,58,34,53,23,28,10,18,23,1551,116,446,707,416,24,64,29,42.2,790,2320,61,36,9,40,19,882,109,44,28,4,58,121,27,41,39.7,€8.4M
