Name,Nation,Position,Team,Age,Matches Played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,xG,xAG,PrgC,PrgP_x,PrgR_x,Goals per 90,Assists per 90,xG per 90,xAG per 90,Goals against per 90,Save%,Clean Sheets %,Penalty Save %,Shoots on target percentage,Shoot on target per 90,Goals per shot,Average shoot distance,Pass completed,Pass completion,Progressive passing distance,Short pass completion,Medium pass completion,Long pass completion,Key passes,Pass in to final third,Pass in to penalty are,CrsPA,PrgP_y,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att,Lost_x,Blocks,Sh,Pass,Int,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,att,Succ%,Tkld%,Carries,ProDist,ProgC,1/3,CPA,Mis,Dis,Rec,PrgR_y,Fls,Fld,Off,Crs,Recov,Won,Lost_y,Won%,transfer_value
Evanilson,br BRA,FW,Bournemouth,25-214,28,25,2058.0,10,1,1,1,11.6,1.6,28,24,88,0.44,0.04,0.51,0.07,N/a,N/a,N/a,N/a,43.9,1.27,0.15,13.0,215,70.0,2631,75.3,73.0,66.7,23,14,3,0,24,2.45,35,0.35,2,16,10,12,4,10,2,8,0,505,23,50,195,263,116,19,6,36.8,300,820,28,17,14,31,22,358,88,33,45,17,0,59,39,58,40.2,€26.9M
Ezri Konsa,eng ENG,DF,Aston Villa,27-197,31,30,2666.0,1,0,0,0,0.9,0.4,17,77,11,0.03,0.0,0.03,0.01,N/a,N/a,N/a,N/a,33.3,0.1,0.11,9.1,1425,92.8,23907,96.4,95.7,65.5,5,95,1,0,77,0.78,18,0.1,3,32,17,22,4,18,10,8,21,1756,224,826,839,100,20,18,8,38.9,1021,2561,17,12,2,17,10,1223,11,6,42,0,5,89,31,22,58.5,€42.7M
Fabian Schär,ch SUI,DF,Newcastle Utd,33-139,31,30,2664.0,4,0,7,1,2.4,0.4,14,102,18,0.14,0.0,0.08,0.01,N/a,N/a,N/a,N/a,32.3,0.34,0.13,21.2,1518,83.8,30536,92.3,92.7,52.3,5,145,10,0,102,1.08,23,0.14,2,34,21,34,20,37,24,13,41,2111,239,1089,900,133,33,12,8,16.7,1331,3403,14,23,2,11,6,1474,18,32,12,4,10,125,46,61,43.0,€11M
Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-136,29,14,1474.0,4,2,7,0,3.8,3.1,38,52,69,0.24,0.12,0.23,0.19,N/a,N/a,N/a,N/a,29.4,0.61,0.12,17.8,430,76.6,6782,85.7,81.9,48.6,24,40,13,2,52,3.05,27,0.24,1,53,32,67,46,32,6,26,11,850,26,127,436,300,36,79,26,62.0,465,1321,38,26,8,53,39,515,69,35,33,3,41,77,17,35,32.7,€30.7M
Flynn Downes,eng ENG,MF,Southampton,26-108,24,22,1881.0,1,0,10,0,0.6,1.1,25,63,28,0.05,0.0,0.03,0.05,N/a,N/a,N/a,N/a,30.0,0.14,0.1,18.7,890,90.1,13048,92.7,92.1,68.8,15,54,12,0,63,1.44,26,0.1,1,44,24,32,18,24,6,18,30,1184,77,351,632,210,21,15,5,46.7,567,1610,25,21,4,13,17,840,28,46,35,0,3,75,14,13,51.9,€9.2M
Gabriel Magalhães,br BRA,DF,Arsenal,27-140,28,28,2363.0,3,1,4,0,2.6,0.9,10,126,11,0.11,0.04,0.1,0.03,N/a,N/a,N/a,N/a,22.7,0.19,0.14,9.5,1480,90.2,25788,96.9,94.2,53.9,13,145,8,0,126,1.33,31,0.23,4,25,15,16,4,42,29,13,16,1873,189,672,985,225,40,5,4,20.0,1116,2669,10,22,0,9,2,1366,11,19,19,0,9,63,53,37,58.9,
Gabriel Martinelli,br BRA,"FW,MF",Arsenal,23-324,30,22,2041.0,7,4,1,0,5.9,4.7,112,47,267,0.31,0.18,0.26,0.21,N/a,N/a,N/a,N/a,42.6,0.88,0.15,13.3,446,71.0,6480,83.5,69.8,49.0,37,11,32,13,47,2.91,50,0.26,3,20,15,23,16,10,0,10,4,889,15,87,229,586,168,106,32,54.7,597,2355,112,30,59,49,33,678,267,14,20,8,83,72,15,30,33.3,€62.6M
Georginio Rutter,fr FRA,"MF,FW",Brighton,23-018,28,19,1656.0,5,3,2,0,4.6,2.5,42,67,79,0.27,0.16,0.25,0.14,N/a,N/a,N/a,N/a,24.0,0.65,0.1,15.5,237,66.8,3344,77.0,66.7,62.5,19,30,16,1,67,3.47,37,0.43,3,39,15,36,22,20,3,17,10,641,20,83,246,326,79,71,27,47.9,361,1405,42,36,16,45,37,411,79,34,45,7,9,66,25,46,35.2,€41.3M
Guglielmo Vicario,it ITA,GK,Tottenham,28-213,23,23,2070.0,0,0,1,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,1.43,64.9,17.4,,,0.0,,,737,87.6,14516,99.1,97.0,49.1,0,1,0,0,1,0.17,4,0.0,0,0,0,0,0,0,0,0,1,892,599,874,18,0,0,1,1,0.0,636,1635,0,0,0,0,0,577,0,0,2,0,0,32,9,0,100.0,€41.6M
Guido Rodríguez,ar ARG,MF,West Ham,31-026,20,14,1018.0,0,0,5,0,0.2,0.1,2,31,5,0.0,0.0,0.02,0.01,N/a,N/a,N/a,N/a,12.5,0.09,0.0,27.8,419,84.1,7149,87.4,91.4,62.7,3,36,1,0,31,0.88,8,0.0,0,30,16,30,16,21,9,12,12,617,42,196,366,56,2,3,2,0.0,284,392,2,5,0,2,6,354,5,15,11,1,4,46,8,7,53.3,€13.6M
Harry Maguire,eng ENG,DF,Manchester Utd,32-064,24,17,1539.0,1,0,7,0,1.4,0.3,6,43,7,0.06,0.0,0.08,0.01,N/a,N/a,N/a,N/a,41.7,0.29,0.08,7.9,833,85.9,15479,91.8,90.6,57.1,6,43,3,0,43,0.99,12,0.0,0,26,13,18,5,14,12,2,37,1147,137,572,525,65,38,5,2,60.0,677,1673,6,7,3,7,2,739,7,17,9,1,3,57,52,22,70.3,€13.7M
