Team,Statistic,Median of Statistic,Mean of Statistic,Std of Statistic
Everton,Off,1.0,3.4545454545454546,6.330028757380496
Fulham,Off,1.0,1.8181818181818181,3.231340038058273
Ipswich Town,Off,0.5,1.5,2.776129779337439
Leicester City,Off,0.5,2.0384615384615383,4.87016031958513
Liverpool,Off,1.0,2.619047619047619,4.3985928485845385
Manchester City,Off,0.0,1.68,2.461706725018234
Manchester Utd,Off,0.5,2.066666666666667,3.161550616208852
Newcastle Utd,Off,2.0,3.0869565217391304,4.31606979763114
Nott'ham Forest,Off,1.0,3.772727272727273,6.30141192176739
Southampton,Off,0.0,1.5172413793103448,2.6270663928633997
Tottenham,Off,1.0,2.185185185185185,3.186957037158668
West Ham,Off,1.0,2.8,4.281744192888376
Wolves,Off,1.0,2.5217391304347827,3.3148366916773013
Arsenal,Crs,11.0,32.18181818181818,42.690063931101804
Aston Villa,Crs,4.5,19.928571428571427,34.228998504547846
Bournemouth,Crs,10.0,32.95652173913044,41.37245269375788
Brentford,Crs,14.0,29.523809523809526,45.98545318643609
Brighton,Crs,10.0,22.357142857142858,27.87168254394929
Chelsea,Crs,3.5,23.884615384615383,40.49921176820795
Crystal Palace,Crs,11.0,26.904761904761905,32.74279273657756
Everton,Crs,6.5,28.318181818181817,36.9908436078783
Fulham,Crs,13.0,36.45454545454545,52.15976124025773
Ipswich Town,Crs,6.0,14.833333333333334,28.825375953325825
Leicester City,Crs,6.5,20.46153846153846,27.36162388343319
Liverpool,Crs,6.0,32.095238095238095,45.267985112996534
Manchester City,Crs,8.0,23.6,32.247738938825876
Manchester Utd,Crs,6.0,19.033333333333335,35.196476443288866
Newcastle Utd,Crs,10.0,27.52173913043478,39.354876751308375
Nott'ham Forest,Crs,6.5,25.454545454545453,37.952008884313074
Southampton,Crs,6.0,17.620689655172413,26.858642920061865
Tottenham,Crs,13.0,26.85185185185185,42.5772634374658
West Ham,Crs,13.0,22.4,27.519689920733725
Wolves,Crs,10.0,21.652173913043477,30.692919964844982
Arsenal,Recov,49.5,59.68181818181818,41.36755844589926
Aston Villa,Recov,37.5,47.107142857142854,36.614446941988966
Bournemouth,Recov,59.0,73.21739130434783,57.25378631523709
Brentford,Recov,50.0,71.0,55.45087916345421
Brighton,Recov,40.5,53.857142857142854,43.787969162616385
Chelsea,Recov,44.5,57.07692307692308,51.0332621547344
Crystal Palace,Recov,64.0,72.9047619047619,54.03601092040822
Everton,Recov,56.0,62.22727272727273,48.319306816793336
Fulham,Recov,53.5,61.86363636363637,47.06054403844909
Ipswich Town,Recov,39.5,44.233333333333334,35.84995872005831
Leicester City,Recov,39.0,49.69230769230769,38.39246720987776
Liverpool,Recov,66.0,70.71428571428571,48.99096126546494
Manchester City,Recov,46.0,53.0,35.29046141192641
Manchester Utd,Recov,31.5,53.1,51.33483726711694
Newcastle Utd,Recov,49.0,66.52173913043478,58.23765539518958
Nott'ham Forest,Recov,47.0,67.4090909090909,54.13005422649021
Southampton,Recov,23.0,46.0,44.260591952661464
Tottenham,Recov,59.0,57.666666666666664,41.01688207780566
West Ham,Recov,43.0,57.16,47.967593227094476
Wolves,Recov,43.0,65.6086956521739,50.69493351987929
Arsenal,Won,10.5,19.90909090909091,19.786741811504783
Aston Villa,Won,8.0,12.571428571428571,12.062886367417523
Bournemouth,Won,20.0,23.17391304347826,21.29586424618862
Brentford,Won,12.0,27.523809523809526,31.921182696790932
Brighton,Won,12.0,17.321428571428573,18.49535191144095
Chelsea,Won,9.5,14.346153846153847,16.49955710361295
Crystal Palace,Won,17.0,22.38095238095238,22.366216019872898
Everton,Won,10.5,24.954545454545453,29.620580478423918
Fulham,Won,10.5,19.545454545454547,21.533423129830325
Ipswich Town,Won,7.0,16.666666666666668,22.797963208075885
Leicester City,Won,10.5,16.692307692307693,16.988865131654276
Liverpool,Won,9.0,18.095238095238095,26.134086480886914
Manchester City,Won,5.0,11.12,13.488637193331776
Manchester Utd,Won,8.5,14.633333333333333,15.979476779948696
Newcastle Utd,Won,7.0,19.304347826086957,29.006950237061048
Nott'ham Forest,Won,13.5,24.272727272727273,26.69970896610034
Southampton,Won,8.0,14.620689655172415,20.917207190498598
Tottenham,Won,9.0,14.62962962962963,14.079849617171531
West Ham,Won,10.0,21.68,27.425231691515997
Wolves,Won,10.0,17.73913043478261,17.532352928500103
Arsenal,Lost_y,15.5,19.363636363636363,17.646112358966818
Aston Villa,Lost_y,9.5,13.821428571428571,13.92055121149109
Bournemouth,Lost_y,22.0,24.608695652173914,20.979945251758842
Brentford,Lost_y,14.0,23.952380952380953,23.96137765337417
Brighton,Lost_y,14.0,16.107142857142858,14.652364960708526
Chelsea,Lost_y,8.5,14.307692307692308,14.603476930564804
Crystal Palace,Lost_y,19.0,28.19047619047619,25.862364639798596
Everton,Lost_y,15.0,23.227272727272727,23.890487882322773
Fulham,Lost_y,17.5,20.454545454545453,21.61509012731895
Ipswich Town,Lost_y,14.5,16.833333333333332,18.145168129195763
Leicester City,Lost_y,14.5,18.0,16.826170093042563
Liverpool,Lost_y,12.0,16.285714285714285,13.126853610606226
Manchester City,Lost_y,8.0,11.96,11.11860302975753
Manchester Utd,Lost_y,10.0,15.166666666666666,17.60502148846162
Newcastle Utd,Lost_y,14.0,18.434782608695652,19.699621793685004
Nott'ham Forest,Lost_y,19.0,23.318181818181817,27.308443424169788
Southampton,Lost_y,8.0,12.655172413793103,13.743247334259845
Tottenham,Lost_y,11.0,14.925925925925926,14.166390143103138
West Ham,Lost_y,12.0,20.84,19.484352696458767
Wolves,Lost_y,16.0,19.043478260869566,19.67111001367133
Arsenal,Won%,51.15,47.82727272727273,19.01468559819668
Aston Villa,Won%,50.0,41.5037037037037,23.27050760547617
Bournemouth,Won%,47.0,50.18181818181818,18.40014586804594
Brentford,Won%,55.5,54.88571428571428,19.609826254056554
Brighton,Won%,50.0,49.25925925925926,20.340169790896706
Chelsea,Won%,42.1,45.744,25.53859954395829
Crystal Palace,Won%,43.6,41.114285714285714,18.50622289161907
Everton,Won%,50.6,49.86363636363637,21.763021180642426
Fulham,Won%,48.0,49.833333333333336,22.00168932907956
Ipswich Town,Won%,50.0,50.05333333333333,28.041247123298298
Leicester City,Won%,50.0,49.7125,19.601958919410603
Liverpool,Won%,42.9,50.22380952380953,21.815955279609113
Manchester City,Won%,47.3,45.18,20.939854345243187
Manchester Utd,Won%,50.0,48.27241379310345,21.342829116117738
Newcastle Utd,Won%,50.0,49.52173913043478,24.045032685316624
Nott'ham Forest,Won%,47.4,51.445454545454545,20.70225953328645
Southampton,Won%,54.5,54.45172413793103,22.802124285276193
Tottenham,Won%,51.4,51.07037037037038,23.391678579798988
West Ham,Won%,50.0,51.14,16.743232463695097
Wolves,Won%,40.7,46.15652173913043,23.201701075703998
